City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,prince rupert,54.3161,-130.3201,6.05,68,75,4.63,CA,1681337110
202,arkhara,49.4212,130.0842,-0.37,63,100,5.46,RU,1681337110
203,kyaukse,21.6,96.1333,27.81,28,2,1.94,MM,1681337111
204,porterville,36.0652,-119.0168,20.78,48,75,3.09,US,1681336950
205,upernavik,72.7868,-56.1549,-9.88,90,60,2.3,GL,1681337111
206,valparaiso,-33.0393,-71.6273,18.33,74,0,3.09,CL,1681337112
207,codrington,-38.2667,141.9667,15.35,92,97,2.78,AU,1681337112
208,dauriya,49.9333,116.8667,-2.21,40,52,0.85,RU,1681337112
209,zabaykalsk,49.6333,117.3167,-2.58,45,28,1.46,RU,1681337112
210,dallas,32.7668,-96.7836,27.34,39,20,5.66,US,1681337113
211,halifax,44.6453,-63.5724,9.27,60,94,10.29,CA,1681336958
212,mutis,6.2262,-77.4044,28.25,77,75,2.96,CO,1681337114
213,san quintin,30.4833,-115.95,16.51,69,94,6.0,MX,1681337114
214,bukachacha,52.9833,116.9167,-7.83,86,14,1.8,RU,1681337114
215,sorland,67.667,12.6934,6.92,83,100,9.68,NO,1681337114
216,morondava,-20.2833,44.2833,27.08,76,100,5.14,MG,1681337115
217,brindisi,40.5833,17.6667,13.77,74,20,3.07,IT,1681337115
218,virginia beach,36.8529,-75.978,28.02,30,40,2.06,US,1681337115
219,eyrarbakki,63.863,-21.1481,4.03,74,74,3.07,IS,1681337115
220,mananjary,-21.2167,48.3333,23.68,86,97,1.54,MG,1681337116
221,biltine,14.5333,20.9167,27.14,14,26,9.64,TD,1681337116
222,luderitz,-26.6481,15.1594,14.67,73,66,3.94,NA,1681337116
223,barvinkove,48.9097,37.0205,10.92,74,100,4.47,UA,1681337116
224,pisco,-13.7,-76.2167,26.03,69,62,7.72,PE,1681337116
225,tasiilaq,65.6145,-37.6368,2.09,96,88,2.83,GL,1681336999
226,mayo,38.8876,-76.5119,29.97,30,0,2.57,US,1681337117
227,vostok,46.4856,135.8833,-1.07,66,100,4.7,RU,1681337117
228,gravdal,68.1214,13.5031,7.94,57,0,3.09,NO,1681337117
229,ust-nera,64.5667,143.2,-11.52,90,51,1.26,RU,1681337117
230,nanortalik,60.1432,-45.2371,0.83,89,100,1.23,GL,1681337117
231,plettenberg bay,-34.0527,23.3716,15.19,59,100,2.6,ZA,1681337117
232,sioux lookout,50.1001,-91.917,19.04,34,40,2.06,CA,1681337118
233,port lincoln,-34.7333,135.8667,12.44,83,0,0.95,AU,1681337118
234,abbeville,50.1,1.8333,9.98,83,100,13.79,FR,1681336848
235,virden,39.5009,-89.7679,25.93,43,9,5.56,US,1681337118
236,kavaratti,10.5669,72.642,28.48,75,11,3.15,IN,1681337118
237,mount gambier,-37.8333,140.7667,15.47,93,88,1.94,AU,1681337119
238,artigas,-30.4,-56.4667,24.34,70,32,1.88,UY,1681337119
239,xai-xai,-25.0519,33.6442,18.69,84,0,2.52,MZ,1681337119
240,burnie,-41.0667,145.9167,15.25,85,5,2.78,AU,1681337119
241,esperance,-33.8667,121.9,17.21,71,0,3.7,AU,1681337119
242,may pen,17.9645,-77.2451,28.56,62,21,3.53,JM,1681337119
243,tual,-5.6667,132.75,28.47,74,71,3.46,ID,1681337120
244,komsomolskiy,40.4272,71.7189,12.4,82,100,3.09,UZ,1681337120
245,castro,-24.7911,-50.0119,19.12,75,88,1.21,BR,1681337120
246,monroe,43.1501,-77.6831,24.79,35,0,10.29,US,1681337120
247,dekar,-21.5333,21.9333,21.42,30,1,4.99,BW,1681337120
248,mocuba,-16.8392,36.9856,20.65,98,73,1.11,MZ,1681337121
249,ostrovnoy,68.0531,39.5131,-8.8,81,100,1.21,RU,1681337121
250,hilton head island,32.2163,-80.7526,23.06,63,0,2.57,US,1681337121
251,san cristobal,7.7669,-72.225,25.1,71,98,1.14,VE,1681337063
252,margate,51.3813,1.3862,7.17,87,100,1.79,GB,1681337122
253,mandalgovi,45.7625,106.2708,2.99,28,100,2.71,MN,1681337122
254,mount isa,-20.7333,139.5,24.87,41,97,3.09,AU,1681337122
255,omboue,-1.5746,9.2618,24.63,91,88,1.85,GA,1681337122
256,bom jesus,-9.0744,-44.3586,27.29,43,17,0.27,BR,1681337122
257,guerrero negro,27.9769,-114.0611,17.88,62,99,8.38,MX,1681336881
258,portland,45.5234,-122.6762,10.84,78,75,2.68,US,1681337020
259,faanui,-16.4833,-151.75,28.11,67,40,3.55,PF,1681337122
260,quatre cocos,-20.2078,57.7625,24.06,84,44,2.81,MU,1681337123
261,springdale,36.1867,-94.1288,24.72,35,0,3.09,US,1681336956
262,erdemli,36.605,34.3084,13.49,80,48,4.46,TR,1681337123
263,taoudenni,22.6783,-3.9836,28.22,8,43,3.18,ML,1681337123
264,olinda,-8.0089,-34.8553,27.85,74,40,4.12,BR,1681337124
265,illora,37.2877,-3.8811,16.71,52,40,4.12,ES,1681337124
266,cabra,37.4725,-4.4421,13.78,62,100,2.21,ES,1681337124
267,labrea,-7.2586,-64.7981,27.4,77,100,0.7,BR,1681337124
268,zadar,44.1197,15.2422,9.34,76,0,2.06,HR,1681337124
